Cell #,P1.1B,P2.1D,P3.2F,8.1b,5.1F,7.1B,3.1b,8.2b,9.1D,FAST 3B,FAST 7b,FAST 8b,8B SLOW,7b slow,7B: -10 ST,7B: -20 ST,7B: +5 ST,8b: -10 ST,8b: -20 ST,8b: +5 ST,FM DWN 2hz,FM DWN 5hz,FM DWN 10hz
55,27.2322028498,6.5557170917,4.9564032643,23.8439829626,9.4003819525,34.2208035493,0.7055916646,23.5507588656,13.7886414449,-4.7736360304,25.0570295444,14.4668957299,22.6515886402,33.7521644083,20.5881473785,-2.2871748033,8.2778856449,15.072970162,6.4025723453,11.6198497303,33.4511106901,39.6528882909,31.5580740015
56,20.4950294765,-9.2323356818,-1.096541015,18.3472582341,9.4439217824,11.1087833948,-3.0527838663,-1.0958684246,2.2851816729,-0.8899428189,10.147761231,6.4984648583,9.0645226627,13.4562323133,15.127987237,14.812181376,5.8346638241,33.8522795001,11.8647734451,17.236311741,12.6378061564,15.4044657547,1.0845407592
57,22.7247437293,4.0038055478,-0.9093120825,7.6326593274,4.8714817034,13.0849970523,3.8858203094,5.4410322757,6.6333644021,-1.4831397333,21.3693551824,-1.5395383881,16.589137451,15.9938668649,24.1016365194,5.0524118184,42.1106946847,14.4513606644,0.7281885036,6.3391176905,1.2511373625,13.1658344785,11.173998014
58,26.6794194285,8.0250772354,2.19627157,15.9805458611,1.9620343359,29.8470446088,-7.3727540125,13.1265665048,-0.1221829657,7.1591290359,28.6241553791,21.6865392597,14.5358315008,27.2739948812,12.0930072107,-3.4146183011,-5.0218822239,22.1226446748,11.4194192761,15.9419385629,14.1024293783,21.2138655306,5.9245834132
59,35.9814170548,0.3821573114,5.8887212441,18.2301691954,7.056132649,25.4595907437,-0.5545065998,7.1038503425,13.6664070069,0.6255544051,27.4844754572,7.5633479484,17.4469581358,20.3242571035,20.778755644,13.5354500939,1.878445287,32.7647270265,3.5534230697,9.0954746404,17.9806170118,23.7770741667,14.6024971329
60,35.3985538808,3.1752750255,0.4021076928,34.4975987521,16.0023052563,30.2557636181,-2.8604661459,17.4860787497,19.1100230295,1.4114306525,35.6827344623,10.0752872372,20.9392780739,27.9675964676,23.4961353491,13.6378250366,2.9407893593,7.0395628522,6.5933325004,3.0137750934,15.477968838,26.2268381721,15.4385370285
61,50.6193047582,1.8722810929,3.7827232917,16.6446493915,26.9567983856,21.1718317496,6.5737032035,8.0039304881,53.3426476112,0.8408415971,24.3671787626,12.1153006066,18.2532303813,24.7873212793,18.49750573,8.3668371323,7.5931003984,10.9450812587,2.0396967433,3.4306543247,22.0865281383,28.6017261338,19.0819138654
62,36.1984223676,4.2292672526,7.5990447926,21.635092042,6.0752199972,24.948588278,-5.2740034995,9.3763471941,23.7816429907,-9.6065187441,28.3701314055,11.4237287447,18.9243053568,29.4582491444,13.1579470204,9.9326168922,4.5643919228,24.2446688948,6.3114610847,12.3314777521,15.9270043436,9.4617972043,6.141985897
63,8.775228107,1.5749012379,3.9588968716,12.9341479083,14.3835362036,18.7189110863,-6.0190344824,2.7195425449,12.0269703215,-1.4631286065,33.4505256154,3.8891923837,17.8182676232,14.9506308412,27.2272436514,4.1628328855,10.9786062865,24.2642357383,13.0525476878,4.6343850456,14.1305671922,26.6007497729,15.58832401
64,32.8667937323,5.4151523853,6.7966074595,24.5692842344,9.4422852606,23.7207360031,0.0757027762,11.9157038761,28.5164595631,6.8176106098,21.5011488132,10.225801211,11.9589403069,23.2396620502,21.6860347054,-2.5928092699,16.8261685859,22.6459807315,10.0149216736,2.2100440553,15.8862474318,23.2545805788,12.336428537
